2022-05-01 12:51:01,979 | INFO | YOLOv5  v6.1-164-g177da7f torch 1.10.0+cu113 CUDA:0 (NVIDIA GeForce RTX 3070, 8192MiB)

2022-05-01 12:51:03,171 | INFO | Fusing layers... 
2022-05-01 12:51:05,384 | INFO | Model summary: 213 layers, 1761871 parameters, 0 gradients, 4.2 GFLOPs
2022-05-01 12:51:05,387 | INFO | Adding AutoShape... 
2022-05-01 12:51:05,540 | INFO | Trying to upload image faces/residents\Sevval_0.jpg. If there is a problem please delete this file.
2022-05-01 12:51:06,388 | INFO | Trying to upload image faces/residents\Sevval_1.jpg. If there is a problem please delete this file.
2022-05-01 12:51:06,420 | INFO | Trying to upload image faces/residents\Sevval_2.jpg. If there is a problem please delete this file.
2022-05-01 12:51:06,463 | INFO | Trying to upload image faces/residents\Sevval_3.jpg. If there is a problem please delete this file.
2022-05-01 12:51:06,518 | INFO | Trying to upload image faces/residents\Sevval_4.jpg. If there is a problem please delete this file.
2022-05-01 12:51:06,544 | INFO | Trying to upload image faces/residents\Sevval_5.jpg. If there is a problem please delete this file.
2022-05-01 12:51:06,569 | INFO | Trying to upload image faces/residents\Sevval_6.jpg. If there is a problem please delete this file.
2022-05-01 12:51:06,609 | INFO | Trying to upload image faces/residents\Sevval_7.jpg. If there is a problem please delete this file.
2022-05-01 12:51:06,647 | INFO | Trying to upload image faces/residents\Sevval_8.jpg. If there is a problem please delete this file.
2022-05-01 12:51:06,676 | INFO | Trying to upload image faces/residents\Sevval_9.jpg. If there is a problem please delete this file.
2022-05-01 12:51:06,699 | INFO | Trying to upload image faces/residents\Sezer_0.jpg. If there is a problem please delete this file.
2022-05-01 12:51:06,724 | INFO | Trying to upload image faces/residents\Sezer_1.jpg. If there is a problem please delete this file.
2022-05-01 12:51:06,741 | INFO | Trying to upload image faces/residents\Sezer_2.jpg. If there is a problem please delete this file.
2022-05-01 12:51:06,757 | INFO | Trying to upload image faces/residents\Sezer_3.jpg. If there is a problem please delete this file.
2022-05-01 12:51:06,782 | INFO | Trying to upload image faces/residents\Sezer_4.jpg. If there is a problem please delete this file.
2022-05-01 12:51:06,830 | INFO | Trying to upload image faces/residents\Sezer_7.jpg. If there is a problem please delete this file.
2022-05-01 12:51:06,871 | INFO | =====../face_videos/2_5FPS_TEST_SABOTAGED.mov========
2022-05-01 12:51:06,960 | INFO | {"Pet Detection": false, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:51:07,086 | INFO | {"Pet Detection": false, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:51:07,154 | INFO | {"Pet Detection": false, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:51:07,220 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:51:07,286 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:51:07,354 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:51:07,421 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:51:07,521 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:51:07,622 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:51:07,733 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:51:07,846 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:51:07,967 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:51:08,070 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:51:08,181 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:51:08,291 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:51:08,401 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:51:08,519 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:51:08,637 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:51:08,760 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:51:08,914 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:51:09,033 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:51:09,164 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:51:09,301 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:51:09,414 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
