               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.076393,              0.1275,             0.00734,             0.80151,             0.54021,             0.62268,             0.32878,             0.07298,             0.11113,           0.0068111,            0.002278,            0.002278,            0.002278
                  80,            0.076367,             0.12686,           0.0073868,             0.80285,             0.53958,              0.6227,              0.3288,            0.072974,             0.11112,           0.0068105,            0.002179,            0.002179,            0.002179
                  81,            0.076402,             0.12749,           0.0073507,             0.80421,             0.53903,             0.62281,             0.32881,            0.072969,             0.11112,           0.0068108,             0.00208,             0.00208,             0.00208
                  82,             0.07639,             0.12627,           0.0073536,             0.79892,             0.54177,             0.62285,             0.32891,            0.072961,             0.11112,           0.0068098,            0.001981,            0.001981,            0.001981
                  83,            0.076353,             0.12649,           0.0073412,              0.8061,             0.53853,             0.62298,               0.329,            0.072955,             0.11112,           0.0068103,            0.001882,            0.001882,            0.001882
                  84,            0.076335,             0.12627,            0.007336,             0.80619,             0.53861,             0.62299,             0.32905,            0.072947,             0.11111,           0.0068096,            0.001783,            0.001783,            0.001783
                  85,            0.076304,             0.12608,           0.0073274,             0.80548,              0.5389,             0.62314,             0.32923,            0.072941,             0.11109,           0.0068087,            0.001684,            0.001684,            0.001684
                  86,            0.076243,             0.12699,           0.0073171,             0.80674,             0.53856,             0.62325,             0.32928,            0.072933,             0.11109,            0.006808,            0.001585,            0.001585,            0.001585
                  87,            0.076556,             0.12678,           0.0073451,             0.79899,             0.54225,              0.6233,             0.32938,            0.072928,             0.11109,           0.0068075,            0.001486,            0.001486,            0.001486
                  88,            0.075849,             0.12552,           0.0072641,             0.79965,             0.54217,             0.62341,             0.32947,            0.072921,             0.11109,           0.0068065,            0.001387,            0.001387,            0.001387
                  89,            0.076017,             0.12582,           0.0073151,             0.80105,             0.54163,             0.62354,             0.32973,            0.072915,             0.11107,           0.0068055,            0.001288,            0.001288,            0.001288
                  90,            0.076194,             0.12637,           0.0073385,             0.79886,             0.54266,             0.62358,             0.32983,            0.072909,             0.11109,           0.0068055,            0.001189,            0.001189,            0.001189
                  91,            0.075938,             0.12571,            0.007257,             0.80143,             0.54163,             0.62364,              0.3299,            0.072905,             0.11107,           0.0068055,             0.00109,             0.00109,             0.00109
                  92,            0.076332,             0.12653,           0.0073372,             0.79943,             0.54275,             0.62386,                0.33,            0.072898,             0.11107,            0.006805,            0.000991,            0.000991,            0.000991
                  93,            0.075966,             0.12612,           0.0072647,             0.79737,              0.5437,             0.62384,              0.3301,            0.072891,             0.11107,           0.0068045,            0.000892,            0.000892,            0.000892
                  94,            0.076323,             0.12578,            0.007306,             0.80097,             0.54206,             0.62397,             0.33021,            0.072886,             0.11105,           0.0068038,            0.000793,            0.000793,            0.000793
                  95,            0.075858,             0.12549,           0.0072676,             0.80098,             0.54216,             0.62413,             0.33027,             0.07288,             0.11105,           0.0068028,            0.000694,            0.000694,            0.000694
                  96,            0.075987,              0.1257,           0.0072849,             0.79444,              0.5456,             0.62426,             0.33038,            0.072876,             0.11105,           0.0068026,            0.000595,            0.000595,            0.000595
                  97,            0.076219,             0.12578,            0.007312,             0.79478,             0.54577,             0.62447,             0.33058,            0.072871,             0.11106,           0.0068028,            0.000496,            0.000496,            0.000496
                  98,            0.075721,             0.12515,           0.0072837,             0.79492,              0.5457,             0.62455,             0.33062,            0.072867,             0.11103,           0.0068031,            0.000397,            0.000397,            0.000397
                  99,            0.075889,             0.12619,           0.0072644,             0.79718,             0.54495,             0.62476,             0.33071,            0.072862,             0.11104,           0.0068026,            0.000298,            0.000298,            0.000298
